"mod","meanRMSE_train","meanRMSE_test","meanr2_train","meanr2_test","sd","N","sem"
"RT_correct  ~  aoa * (Condition*L2_exposure + Condition*PCA_Work + Condition*PCA_General) +  (1|participant)",144.801560347546,161.789109709697,0.334260165362469,0.206478092105593,35.2045536304035,455,1.65041493038952
"RT_correct  ~  Condition*aoa + Condition*L2_exposure +  (1|participant)",144.84734491845,161.612307682575,0.333842535483084,0.207198752514164,34.6974017034938,455,1.62663928133756
"RT_correct  ~  Condition*aoa + Condition*L2_exposure + Condition*PCA_Work + Condition*PCA_General +  (1|participant)",144.812998503106,161.54202769535,0.334156151342133,0.207057256089935,35.035223844715,455,1.64247662759512
"RT_correct  ~  Condition + (1|participant)",144.889227503819,161.433277402297,0.333458410619417,0.207406182635523,34.6253671138806,455,1.62326224768872
"RT_correct  ~  Condition*PCA_Work + Condition*PCA_General +  (1|participant)",144.834644005601,161.361643450058,0.333957717657786,0.20737661317083,34.9576234088394,455,1.63883866304887
