participant,L1,meanAccent,self_accent_perception,others_accent_perception,ReadEntropy,SpeakEntropy,HomeEntropy,WorkEntropy,SocialEntropy,age,yearsBilingual,aoa,gender,L1_current_exposure,L2_current_exposure,L3_current_exposure,L1_choose_read,L2_choose_read,L3_choose_read,L1_choose_speak,L2_choose_speak,L3_choose_speak,L1_home_use,L2_home_use,L3_home_use,L1_work_use,L2_work_use,L3_work_use,L1_social_use,L2_social_use,L3_social_use,L2_speaking_ability,L2_reading_ability,L2_writing_ability,L2_translating_ability,L2_listening_comprehension_ability,L2_pronunciation_ability,L2_fluency_ability,L2_vocabulary_ability,L2_grammatrical_ability,L2_overall_competence_ability,L1_speaking_ability,L1_reading_ability,L1_writing_ability,L1_translating_ability,L1_listening_comprehension_ability,L1_pronunciation_ability,L1_fluency_ability,L1_vocabulary_ability,L1_grammatrical_ability,L1_overall_competence_ability,meanL2ability,L2_exposure,occupation
332,English,4,3,5,0.970950594454669,0.468995593589281,0.811278124459133,0.918295834054489,0.811278124459133,24,21,3,Female,70,30,0,60,40,0,90,10,0,7,3,1,7,4,1,7,3,1,4,7,6,6,6,7,6,7,6,6,10,10,10,7,10,9,10,10,9,9,6.1,30,work
333,English,1.5,2,1,0.811278124459133,0,0.994030211476957,0.970950594454669,0.970950594454669,30,26,4,Female,50,50,0,75,25,0,100,0,0,7,6,1,4,3,1,4,3,1,10,10,9,10,10,10,9,9,9,10,10,10,10,10,10,10,10,10,10,10,9.6,50,student
334,English,3.5,2,5,0,0.6098403047164,0,0.811278124459133,0.591672778582327,21,16,5,Female,75,25,0,100,0,0,85,15,0,7,1,1,7,3,1,7,2,1,7,4,4,6,6,6,4,3,4,6,10,10,10,7,10,10,10,7,9,10,5,25,work
335,English,5,5,5,0,0,0,0,0.591672778582327,20,15,5,Female,90,10,0,100,0,0,100,0,0,7,1,1,7,1,1,7,2,1,7,9,9,7,9,7,7,9,7,7,10,10,10,10,10,10,10,10,10,10,7.8,10,student
336,English,2,2,2,0.721928094887362,1,0,0.918295834054489,1,24,19,5,Female,50,50,0,80,20,0,50,50,0,7,1,1,5,3,1,7,7,1,7,7,4,6,7,10,7,6,6,7,10,10,10,9,10,10,10,10,10,10,6.7,50,student
337,English,2,2,2,0.970950594454669,1,1,0.591672778582327,1,18,13,5,Female,70,30,0,40,60,0,50,50,0,6,6,1,7,2,1,6,6,1,9,10,10,7,10,10,10,10,10,10,10,10,10,9,10,9,10,10,9,10,9.6,30,student
338,English,6.5,6,7,0,0.721928094887362,0.970950594454669,1.29546184423832,0.918295834054489,29,26,3,Female,85,15,0,100,0,0,80,20,0,7,5,1,7,4,2,7,4,1,7,6,6,4,9,7,7,7,7,7,10,10,10,10,10,10,10,10,10,10,6.7,15,work
339,English,1.5,1,2,0.286396957115956,1,1.29546184423832,0.591672778582327,1.22439444540599,29,29,0,Female,95,5,0,95,5,0,50,50,0,7,4,2,7,2,1,7,3,2,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,5,work
340,English,1.5,1,2,0.881290899230693,0.468995593589281,0.811278124459133,1,0.811278124459133,30,27,3,Female,80,20,0,70,30,0,90,10,0,7,3,1,7,7,1,7,3,1,10,10,10,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9.9,20,work
341,English,2,2,2,0,0.468995593589281,0,0.591672778582327,0.591672778582327,28,8,20,Female,90,10,0,100,0,0,90,10,0,7,1,1,2,7,1,7,2,1,9,7,4,7,9,9,7,7,4,7,10,10,10,10,10,10,10,10,10,10,7,10,work
342,English,4,3,5,0.468995593589281,0.811278124459133,0,1,0.991076059838222,27,16,11,Female,50,50,0,10,90,0,25,75,0,1,7,1,5,5,1,5,6,1,9,9,7,9,9,7,9,7,7,9,10,10,10,9,10,10,10,9,10,10,8.2,50,work/student
343,English,4.5,4,5,0.6098403047164,0.468995593589281,0,0.591672778582327,0.591672778582327,22,9,13,Male,90,10,0,85,15,0,90,10,0,7,1,1,7,2,1,7,2,1,4,6,4,6,6,6,4,6,4,6,10,10,10,10,10,10,10,10,10,10,5.2,10,NA
346,English,3,3,3,0,1,0.591672778582327,0.591672778582327,1,29,27,2,Female,90,10,0,100,0,0,50,50,0,7,2,1,7,2,1,7,7,1,6,6,4,6,9,6,6,6,6,6,10,10,10,10,10,10,10,10,10,10,6.1,10,student
347,English,3,3,3,0.468995593589281,0.468995593589281,0.591672778582327,0.970950594454669,0.970950594454669,24,21,3,Male,90,10,0,90,10,0,90,10,0,7,2,1,7,5,1,7,5,1,9,10,9,7,10,9,10,9,9,9,10,10,10,10,10,10,10,10,10,10,9.1,10,student
348,English,6.5,6,7,0.721928094887362,0.6098403047164,0.591672778582327,0,0.811278124459133,21,16,5,Female,80,20,0,80,20,0,85,15,0,7,2,1,7,1,1,7,3,1,4,6,4,4,6,3,4,4,3,4,10,10,10,9,10,10,10,10,10,10,4.2,20,student
349,English,4,1,7,0,0,0,0.650022421648354,0,20,14,6,Female,95,5,0,100,0,0,100,0,0,7,1,1,6,2,1,7,1,1,4,4,3,6,4,4,4,3,3,4,10,10,10,10,10,10,10,10,10,10,3.9,5,none
350,English,4.5,3,6,0.721928094887362,1,1,0.918295834054489,1,25,20,5,Female,60,40,0,80,20,0,50,50,0,7,7,1,4,7,1,7,7,1,9,9,7,7,7,9,7,7,7,7,10,10,10,10,10,10,10,10,10,10,7.6,40,work
351,English,3,3,3,0.970950594454669,0.881290899230693,1,1,1,20,12,8,Male,40,60,0,60,40,0,70,30,0,7,7,1,7,7,1,7,7,1,10,10,9,9,10,9,9,9,9,10,10,10,10,10,10,10,10,10,10,10,9.4,60,work
352,English,2,2,2,0.881290899230693,0.721928094887362,0.591672778582327,0.918295834054489,0.918295834054489,22,22,0,Female,60,40,0,70,30,0,80,20,0,7,2,1,4,7,1,7,4,1,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,40,student
353,English,5.5,5,6,0.721928094887362,0.970950594454669,0.591672778582327,0.970950594454669,0.811278124459133,26,21,5,Female,60,40,0,80,20,0,60,40,0,7,2,1,5,7,1,7,3,1,7,6,3,3,7,4,7,6,3,7,10,10,10,10,10,10,10,10,10,10,5.3,40,work
354,English,2.5,2,3,0.468995593589281,1.51288762151816,1.37095059445467,0.970950594454669,1.52623490994952,24,22,2,Male,45,30,25,90,10,0,45,20,35,7,3,3,5,7,1,7,5,4,7,6,3,6,9,7,7,7,4,7,10,10,10,9,10,10,10,10,10,10,6.3,30,student
355,English,1,1,1,0.6098403047164,0.6098403047164,0.811278124459133,0.994030211476957,0.994030211476957,20,19,1,Female,90,10,0,85,15,0,85,15,0,7,3,1,7,6,1,7,6,1,10,10,10,10,10,10,10,10,10,10,9,10,9,10,10,10,10,10,10,10,10,10,work
357,English,2.5,2,3,0.322493361860324,0.141440542541821,0,0.918295834054489,0.591672778582327,19,15,4,Male,89,10,1,95,4,1,98,2,0,7,1,1,7,4,1,7,2,1,7,10,9,4,6,7,7,6,9,7,10,10,10,10,10,10,10,10,10,10,7.2,10,work/student
358,English,1,1,1,1.11406702640604,0.921928094887362,0.591672778582327,0.811278124459133,1,20,19.75,0.25,Female,65,30,5,54,44,2,80,10,10,7,2,1,3,7,1,7,7,1,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,30,student
359,English,2,2,2,0.468995593589281,0.881290899230693,0.591672778582327,0,0.918295834054489,23,12,11,Male,70,30,0,90,10,0,70,30,0,7,2,1,7,1,1,7,4,1,7,7,6,7,9,9,7,7,6,9,10,10,9,10,10,10,10,10,9,10,7.4,30,student
360,French,6,6,6,0.881290899230693,0.468995593589281,0.591672778582327,0.863120568566631,0.650022421648354,20,10,10,Female,60,40,0,70,30,0,90,10,0,7,2,1,6,3,1,6,2,1,6,7,7,6,9,4,4,4,4,6,10,10,10,9,10,10,10,10,10,10,5.7,40,student
361,French,3.5,6,1,0.721928094887362,0.970950594454669,0.994030211476957,1,0.970950594454669,20,8,12,Female,20,80,0,80,20,0,60,40,0,7,6,1,7,7,1,5,7,1,10,7,7,9,10,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,8.8,80,student
363,French,4,3,5,0.468995593589281,0.721928094887362,0,0.650022421648354,0.650022421648354,19,4,15,Female,20,80,0,90,10,0,80,20,0,7,1,1,2,6,1,2,6,1,7,9,6,9,7,6,9,7,NA,7,10,10,10,10,10,10,10,10,10,10,7.444444444444445,80,student
364,French,6,5,7,0,1,0.591672778582327,1.2987949406954,1.32217934551667,19,16,3,Female,40,55,5,100,0,0,50,50,0,7,2,1,6,3,2,5,7,2,6,10,7,7,10,4,6,6,4,7,10,10,10,10,10,10,10,10,7,10,6.7,55,work
365,French,5,5,5,0.881290899230693,0.286396957115956,0.591672778582327,0.591672778582327,0.591672778582327,20,8,12,Female,80,20,0,70,30,0,95,5,0,7,2,1,7,2,1,7,2,1,7,7,7,7,7,7,7,7,4,7,10,10,10,10,10,10,10,10,10,10,6.7,20,student
368,French,5.5,5,6,0,0.468995593589281,0,1,0.918295834054489,30,2.5,27.5,Female,10,90,0,0,100,0,10,90,0,1,7,1,7,7,1,4,7,1,7,7,7,9,7,6,7,6,6,7,10,10,10,10,10,10,10,10,10,10,6.9,90,work
369,French,4.5,6,3,0.992774453987808,0.970950594454669,0.591672778582327,0.591672778582327,0.863120568566631,21,19,2,Female,60,40,0,55,45,0,60,40,0,7,2,1,2,7,1,6,3,1,7,7,7,7,9,6,6,7,6,7,10,10,10,10,10,10,10,10,10,10,6.9,40,student
370,French,4.5,4,5,1,0.881290899230693,0.811278124459133,0.970950594454669,0.991076059838222,19,7,12,Female,65,35,0,50,50,0,70,30,0,7,3,1,7,5,1,6,5,1,6,9,9,7,9,4,4,4,6,7,10,10,10,10,10,10,10,10,10,10,6.5,35,student
371,French,5.5,5,6,0,0,0,0,0.918295834054489,20,2.5,17.5,Female,50,50,0,0,100,0,100,0,0,7,1,1,7,1,1,5,3,1,4,7,7,7,7,4,4,4,6,6,10,10,10,10,10,10,10,10,10,10,5.6,50,work
372,French,3.5,3,4,0.992774453987808,0.881290899230693,0.591672778582327,0.811278124459133,0.811278124459133,21,11,10,Female,65,35,0,55,45,0,70,30,0,7,2,1,3,7,1,7,3,1,7,7,7,9,7,7,7,6,9,7,10,10,10,9,10,10,10,10,10,10,7.3,35,student
373,French,1,1,1,0.970950594454669,1,0.970950594454669,0.811278124459133,1,20,16,4,Male,30,70,0,60,40,0,50,50,0,7,5,1,7,3,1,7,7,1,9,6,6,9,9,7,9,7,6,7,10,10,4,7,10,10,10,9,4,9,7.5,70,student
374,French,7,7,7,1,0.721928094887362,0,0,0.591672778582327,19,10,9,Male,70,30,0,50,50,0,80,20,0,7,1,1,7,1,1,7,2,1,4,6,6,4,7,4,6,4,4,6,10,10,10,10,10,10,10,10,10,10,5.1,30,student
375,French,2,2,2,0,0.286396957115956,0.811278124459133,0.591672778582327,0.591672778582327,22,12,10,Female,10,90,0,0,100,0,5,95,0,3,7,1,2,7,1,2,7,1,10,10,10,10,10,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9.9,90,student
376,French,5.5,6,5,0.468995593589281,0.468995593589281,0,0.811278124459133,0.954434002924965,18,6,12,Female,40,60,0,90,10,0,90,10,0,7,1,1,3,7,1,4,6,1,9,10,10,10,7,6,7,9,9,9,10,10,10,10,10,10,10,10,10,10,8.6,60,work/student
